starting model selection with feature subset 1 of 127
0.86772349272349280636 0.12500000000000000000 : gamma= 0.1 nu= 0.001 features= ('packets',)
0.64137214137214137999 0.28728988150378265143 : gamma= 0.1 nu= 0.201 features= ('packets',)
0.10433991683991683530 0.41228988150378265143 : gamma= 0.1 nu= 0.401 features= ('packets',)
0.04885654885654886620 0.45043326385672377565 : gamma= 0.1 nu= 0.601 features= ('packets',)
0.03924116424116424334 0.49295294889609386768 : gamma= 0.1 nu= 0.801 features= ('packets',)
0.87564968814968824340 0.11508665966386553980 : gamma= 0.3 nu= 0.001 features= ('packets',)
0.41021309771309771852 0.22931981847857252355 : gamma= 0.3 nu= 0.201 features= ('packets',)
0.10888773388773387296 0.41228988150378265143 : gamma= 0.3 nu= 0.401 features= ('packets',)
0.04885654885654886620 0.45043326385672377565 : gamma= 0.3 nu= 0.601 features= ('packets',)
0.03508316008316008511 0.49295294889609386768 : gamma= 0.3 nu= 0.801 features= ('packets',)
0.90540540540540559444 0.04090070083151371022 : gamma= 0.5 nu= 0.001 features= ('packets',)
0.64903846153846156408 0.22931981847857252355 : gamma= 0.5 nu= 0.201 features= ('packets',)
0.10888773388773387296 0.41228988150378265143 : gamma= 0.5 nu= 0.401 features= ('packets',)
0.04106029106029106257 0.94186351706036752773 : gamma= 0.5 nu= 0.601 features= ('packets',)
0.02442827442827442963 0.98438320209973750874 : gamma= 0.5 nu= 0.801 features= ('packets',)
0.98024948024948033165 0.00295430672268907554 : gamma= 1.0 nu= 0.001 features= ('packets',)
0.47661122661122662381 0.28728988150378265143 : gamma= 1.0 nu= 0.201 features= ('packets',)
0.10589916839916840852 0.41228988150378265143 : gamma= 1.0 nu= 0.401 features= ('packets',)
0.03976091476091475618 0.89229681537969518512 : gamma= 1.0 nu= 0.601 features= ('packets',)
0.03404365904365904555 0.55981650041906527715 : gamma= 1.0 nu= 0.801 features= ('packets',)
0.90475571725571746207 0.04385500755420278229 : gamma= 2.0 nu= 0.001 features= ('packets',)
0.63253638253638255762 0.28728988150378265143 : gamma= 2.0 nu= 0.201 features= ('packets',)
0.10914760914760915367 0.41228988150378265143 : gamma= 2.0 nu= 0.401 features= ('packets',)
0.03846153846153846367 0.94186351706036752773 : gamma= 2.0 nu= 0.601 features= ('packets',)
0.03560291060291060489 0.60938320209973750874 : gamma= 2.0 nu= 0.801 features= ('packets',)
0.97024428274428287100 0.00649947478991596671 : gamma= 5.0 nu= 0.001 features= ('packets',)
0.43762993762993762648 0.28728988150378265143 : gamma= 5.0 nu= 0.201 features= ('packets',)
0.10719854469854470103 0.41228988150378265143 : gamma= 5.0 nu= 0.401 features= ('packets',)
0.04885654885654886620 0.45043326385672377565 : gamma= 5.0 nu= 0.601 features= ('packets',)
0.04209979209979210213 0.49295294889609386768 : gamma= 5.0 nu= 0.801 features= ('packets',)
0.95218295218295223581 0.00295430672268907554 : gamma= 10.0 nu= 0.001 features= ('packets',)
0.43788981288981287943 0.39101887310042127144 : gamma= 10.0 nu= 0.201 features= ('packets',)
0.10719854469854470103 0.41228988150378265143 : gamma= 10.0 nu= 0.401 features= ('packets',)
0.04885654885654886620 0.45043326385672377565 : gamma= 10.0 nu= 0.601 features= ('packets',)
0.04664760914760914673 0.45043326385672377565 : gamma= 10.0 nu= 0.801 features= ('packets',)
starting model selection with feature subset 2 of 127
0.94854469854469847245 0.03899684873949579855 : gamma= 0.1 nu= 0.001 features= ('octets',)
0.62344074844074848230 0.26555669511899249180 : gamma= 0.1 nu= 0.201 features= ('octets',)
0.19932432432432431457 0.42448347449215906302 : gamma= 0.1 nu= 0.401 features= ('octets',)
0.06548856548856549220 0.82523269150179756615 : gamma= 0.1 nu= 0.601 features= ('octets',)
0.05665280665280664207 0.89852972192814140051 : gamma= 0.1 nu= 0.801 features= ('octets',)
0.94854469854469847245 0.03899684873949579855 : gamma= 0.3 nu= 0.001 features= ('octets',)
0.62240124740124735947 0.26555669511899249180 : gamma= 0.3 nu= 0.201 features= ('octets',)
0.20582120582120583263 0.42257958793753719329 : gamma= 0.3 nu= 0.401 features= ('octets',)
0.06470893970893970559 0.56644021289618207149 : gamma= 0.3 nu= 0.601 features= ('octets',)
0.05639293139293138912 0.59518336862303977686 : gamma= 0.3 nu= 0.801 features= ('octets',)
0.94841476091476084598 0.03899684873949579855 : gamma= 0.5 nu= 0.001 features= ('octets',)
0.62551975051975050590 0.26555669511899249180 : gamma= 0.5 nu= 0.201 features= ('octets',)
0.21075883575883574972 0.41988788625686496170 : gamma= 0.5 nu= 0.401 features= ('octets',)
0.06431912681912682617 0.56650582969408236345 : gamma= 0.5 nu= 0.601 features= ('octets',)
0.05574324324324324287 0.59538032240455240895 : gamma= 0.5 nu= 0.801 features= ('octets',)
0.94568607068607068999 0.03919380252100840289 : gamma= 1.0 nu= 0.001 features= ('octets',)
0.61343555093555091062 0.26555669511899249180 : gamma= 1.0 nu= 0.201 features= ('octets',)
0.21569646569646572232 0.41995353751736913539 : gamma= 1.0 nu= 0.401 features= ('octets',)
0.06496881496881498630 0.56972119064161097501 : gamma= 1.0 nu= 0.601 features= ('octets',)
0.05561330561330560251 0.84597087358565481452 : gamma= 1.0 nu= 0.801 features= ('octets',)
0.94568607068607068999 0.03899684873949579855 : gamma= 2.0 nu= 0.001 features= ('octets',)
0.62759875259875264053 0.26555669511899249180 : gamma= 2.0 nu= 0.201 features= ('octets',)
0.22271309771309771852 0.41995353751736913539 : gamma= 2.0 nu= 0.401 features= ('octets',)
