Started on 2018-03-06 18:00
Finished on 2018-03-06 18:00

starting model selection with feature subset 1 of 127
0.86718750000000011102 0.12500000000000000000 : gamma= 0.1 nu= 0.001 features= ('packets',)
0.59755777310924373946 0.28756542980286414757 : gamma= 0.1 nu= 0.201 features= ('packets',)
0.10681460084033612967 0.41256542980286414757 : gamma= 0.1 nu= 0.401 features= ('packets',)
0.04378939075630251809 0.45431935650443489028 : gamma= 0.1 nu= 0.601 features= ('packets',)
0.03335084033613445326 0.49666932161259957912 : gamma= 0.1 nu= 0.801 features= ('packets',)
0.96835609243697495785 0.00837696335078534117 : gamma= 0.3 nu= 0.001 features= ('packets',)
0.49139968487394958263 0.23123907727232317910 : gamma= 0.3 nu= 0.201 features= ('packets',)
0.11239495798319328046 0.41256542980286414757 : gamma= 0.3 nu= 0.401 features= ('packets',)
0.04378939075630251809 0.45431935650443489028 : gamma= 0.3 nu= 0.601 features= ('packets',)
0.03335084033613445326 0.49666932161259957912 : gamma= 0.3 nu= 0.801 features= ('packets',)
0.89850315126050417369 0.04602965318855352372 : gamma= 0.5 nu= 0.001 features= ('packets',)
0.63858981092436972737 0.28756542980286414757 : gamma= 0.5 nu= 0.201 features= ('packets',)
0.11239495798319328046 0.41256542980286414757 : gamma= 0.5 nu= 0.401 features= ('packets',)
0.03433560924369747497 0.94194870900209348719 : gamma= 0.5 nu= 0.601 features= ('packets',)
0.02389705882352941013 0.98429867411025817603 : gamma= 0.5 nu= 0.801 features= ('packets',)
0.97833508403361357786 0.00772251308900523577 : gamma= 1.0 nu= 0.001 features= ('packets',)
0.41373424369747896501 0.28756542980286414757 : gamma= 1.0 nu= 0.201 features= ('packets',)
0.10819327731092436007 0.41260905982031614858 : gamma= 1.0 nu= 0.401 features= ('packets',)
0.03755252100840335977 0.89626808072984220921 : gamma= 1.0 nu= 0.601 features= ('packets',)
0.02232142857142857192 0.93861804583800689805 : gamma= 1.0 nu= 0.801 features= ('packets',)
0.95837710084033633784 0.00842057814492351217 : gamma= 2.0 nu= 0.001 features= ('packets',)
0.60261292016806711214 0.23123907727232317910 : gamma= 2.0 nu= 0.201 features= ('packets',)
0.11377363445378151086 0.41260905982031614858 : gamma= 2.0 nu= 0.401 features= ('packets',)
0.03597689075630251809 0.94194870900209348719 : gamma= 2.0 nu= 0.601 features= ('packets',)
0.02074579831932773025 0.98429867411025817603 : gamma= 2.0 nu= 0.801 features= ('packets',)
0.96835609243697495785 0.00837696335078534117 : gamma= 5.0 nu= 0.001 features= ('packets',)
0.44603466386554618817 0.28756542980286414757 : gamma= 5.0 nu= 0.201 features= ('packets',)
0.10976890756302519481 0.41260905982031614858 : gamma= 5.0 nu= 0.401 features= ('packets',)
0.04858193277310923763 0.45431935650443489028 : gamma= 5.0 nu= 0.601 features= ('packets',)
0.04241071428571428076 0.49666932161259957912 : gamma= 5.0 nu= 0.801 features= ('packets',)
0.96835609243697495785 0.00776612788314340764 : gamma= 10.0 nu= 0.001 features= ('packets',)
0.44715073529411764053 0.28756542980286414757 : gamma= 10.0 nu= 0.201 features= ('packets',)
0.11088497899159663329 0.41260905982031614858 : gamma= 10.0 nu= 0.401 features= ('packets',)
0.04858193277310923763 0.45431935650443489028 : gamma= 10.0 nu= 0.601 features= ('packets',)
0.04654674369747898582 0.45431935650443489028 : gamma= 10.0 nu= 0.801 features= ('packets',)
starting model selection with feature subset 2 of 127
0.94820115546218497471 0.03931064572425829046 : gamma= 0.1 nu= 0.001 features= ('octets',)
0.60957195378151263210 0.26496334530494736192 : gamma= 0.1 nu= 0.201 features= ('octets',)
0.19143907563025208685 0.42538084164221801053 : gamma= 0.1 nu= 0.401 features= ('octets',)
0.06939338235294116586 0.61058598797479990417 : gamma= 0.1 nu= 0.601 features= ('octets',)
0.06335346638655463269 0.89862133102913266391 : gamma= 0.1 nu= 0.801 features= ('octets',)
0.94951418067226900366 0.03957242582897033123 : gamma= 0.3 nu= 0.001 features= ('octets',)
0.61390493697478998314 0.26496334530494736192 : gamma= 0.3 nu= 0.201 features= ('octets',)
0.19852941176470584317 0.42538084164221801053 : gamma= 0.3 nu= 0.401 features= ('octets',)
0.06899947478991595717 0.56465999033015101816 : gamma= 0.3 nu= 0.601 features= ('octets',)
0.06250000000000000000 0.59536768260973871314 : gamma= 0.3 nu= 0.801 features= ('octets',)
0.94701943277310918212 0.03931064572425829046 : gamma= 0.5 nu= 0.001 features= ('octets',)
0.61653098739495793001 0.26496334530494736192 : gamma= 0.5 nu= 0.201 features= ('octets',)
0.20450367647058823040 0.42533721162476600952 : gamma= 0.5 nu= 0.401 features= ('octets',)
0.06880252100840335283 0.56653606585727345202 : gamma= 0.5 nu= 0.601 features= ('octets',)
0.06197478991596637454 0.59580398278425872327 : gamma= 0.5 nu= 0.801 features= ('octets',)
0.94701943277310918212 0.03957242582897033123 : gamma= 1.0 nu= 0.001 features= ('octets',)
0.60806197478991597105 0.26496334530494736192 : gamma= 1.0 nu= 0.201 features= ('octets',)
0.21467962184873948250 0.42289393064745361972 : gamma= 1.0 nu= 0.401 features= ('octets',)
0.06834296218487394270 0.56753940402553137989 : gamma= 1.0 nu= 0.601 features= ('octets',)
0.06164653361344536731 0.59693805877173433672 : gamma= 1.0 nu= 0.801 features= ('octets',)
0.94610031512605030635 0.03931064572425829046 : gamma= 2.0 nu= 0.001 features= ('octets',)
0.61961659663865542580 0.26496334530494736192 : gamma= 2.0 nu= 0.201 features= ('octets',)
0.22019432773109245960 0.42049427968759323093 : gamma= 2.0 nu= 0.401 features= ('octets',)
